GEOID,geoName,geoRegion,geoLON,geoLAT,ISO3,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020
32980,Merrill, WI,-89.73,45.34,USA,100,200,40,50,18,40,28,8,7,19,16,14,0,0,4,0,4,3,0,0,-3,3,3,3,-3,-3,3,7,-3,0,-7,3,3,3,-7,-7,0,-17,4,-4,0,4,0,0,4,-19,-11,-26,0,14,-14,14,0,0,0,-22,8,14,6,27,4,12,3,-3,7,-7,-8,-4,0,4,4,-13,0,-21,-6,-20,0,0,-16,8,8,7,6,-6,-7,0,0,0,7,0,0,6,6,6,-12,0,-6,6,12,16,-5,10,4,16,-3,7,7,3,0,-3,3,0,-3,-10,7,-11,-4,-13,22
12900,Batesville, AR,-91.57,35.74,USA,200,66,40,28,0,54,25,20,16,7,6,6,11,0,10,0,4,4,0,-4,0,-10,5,9,0,0,-4,9,0,0,-9,4,4,-9,-4,9,-14,-11,11,5,-5,5,-16,-6,6,-6,0,6,0,-12,6,-6,-14,-16,24,-24,0,0,-9,-22,11,-11,11,0,10,9,0,16,-26,0,9,8,0,0,0,8,-16,16,-16,16,14,6,11,15,9,-4,8,8,-8,0,0,0,4,-4,-4,-4,-4,-15,-5,0,-6,-6,12,-6,17,-5,-5,0,-12,-6,6,0,-14,14,-6,6,-14,14,13
157,Nicaragua,NORTH AMERICA,-85.034,12.84,NIC,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,0,66,40,0,0,0,0,50,0,0,0,0,0,-22,22,-22,-28,28,22,0,18,-40,22,0,0,0,18,0,-18,0,0,-22,-28,0,0,0,-40,0,0,0,0,0,0,0,0,0,0,0,-66,66,0,0,40,0,-40,0,0,0,0,0,0,0,0,-66,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,-66,0,66,0,0,0,0,0,-66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20340,Duncan, OK,-97.85,34.49,USA,100,200,120,40,0,15,0,25,20,8,0,8,0,0,14,0,-14,-16,0,0,8,-8,0,0,8,0,8,20,6,21,9,8,7,0,0,-3,-8,4,-4,4,-4,-8,-14,-30,-24,0,-20,10,-10,10,0,0,9,-9,0,-10,0,28,8,7,6,-14,0,7,0,-15,-8,0,16,7,0,-24,0,-31,11,10,9,0,16,14,0,6,-13,-7,7,6,6,0,-13,-7,0,-8,-8,0,8,-18,0,0,9,8,-8,0,0,8,8,-8,-8,-20,0,0,10,0,-10,-11,0,0,0,-13,5
21180,Elkins, WV,-79.88,38.77,USA,100,200,66,0,22,18,0,0,28,22,18,15,0,0,6,6,0,17,0,0,10,4,8,-4,8,0,3,7,-3,-3,0,-12,12,0,-3,0,-8,-4,-20,-5,-6,-6,12,0,-12,12,-26,0,-8,8,-16,8,0,0,8,-8,-18,-10,0,-11,0,-13,0,-33,0,18,15,0,-15,0,0,0,0,-18,0,18,0,0,15,-33,0,0,0,18,0,0,15,25,10,0,0,0,-10,0,-11,0,0,-13,13,-13,0,-33,0,0,0,18,0,0,0,15,0,13,11,0,0,10,9,0,11
49460,Yankton, SD,-97.39,43.01,USA,100,200,0,0,0,0,40,28,93,16,7,6,6,0,0,6,0,11,5,4,-4,4,-21,0,0,5,32,11,6,-6,0,-3,-3,-3,3,0,-12,-9,0,-10,-53,-20,-25,13,11,0,0,0,-11,-13,13,0,-13,13,11,-11,31,-9,-10,-11,11,20,8,-8,8,0,0,0,-8,16,-26,-10,0,10,-10,-25,-15,0,-18,0,18,0,28,-28,0,15,0,13,11,0,0,0,10,0,-10,-11,-28,15,0,-15,0,-18,-22,0,0,22,-22,0,22,0,0,18,28,11,10,0,0,0,10
11,Barbados,NORTH AMERICA,-59.562,13.179,BRB,100,100,100,100,100,100,100,100,200,0,66,0,0,0,22,0,0,0,18,15,0,25,-25,0,0,13,0,11,0,0,10,9,-9,-10,10,-22,0,0,-28,-18,0,0,-22,0,0,-28,28,0,-28,50,0,0,0,0,0,-22,22,0,-22,40,-18,0,18,-40,0,0,0,0,0,0,-28,0,0,-100,66,0,-66,66,0,40,0,0,0,0,0,0,0,0,-40,0,40,-40,0,-66,0,0,0,66,0,0,0,0,0,0,0,0,0,40,28,0,0,0,0,0,0,0,22,0,4
36840,Ottawa, KS,-95.29,38.56,USA,100,100,200,40,66,50,40,23,14,0,8,4,7,0,0,16,9,0,-2,-3,-6,-10,-3,3,0,6,-3,9,9,-9,-13,3,-3,-7,-12,0,0,0,-4,-4,4,-9,-16,0,5,-11,-6,0,6,0,-13,-7,-8,8,-8,0,0,-8,-20,0,20,0,0,-9,0,26,0,-26,-10,0,10,-10,0,0,-11,22,18,15,13,-20,14,6,6,5,0,24,4,0,-4,-4,0,-9,-5,10,0,9,-4,-9,0,-22,6,11,0,-11,-6,22,0,0,-5,-17,22,0,0,9,-4,-10,19,4,23
11580,Arcadia, FL,-81.81,27.19,USA,100,200,66,40,28,0,0,54,13,0,0,22,0,0,18,-8,-9,9,-9,18,0,-18,-10,10,18,0,8,0,-16,8,0,-8,8,-18,0,-10,0,-11,-28,-40,-28,28,0,-28,28,-28,-40,40,28,0,0,22,18,15,13,-13,13,0,-13,0,13,-13,-15,15,13,-13,0,0,-15,15,-15,0,28,0,0,0,0,-13,-15,28,-13,-15,0,15,13,11,-25,0,-15,0,15,0,0,-33,18,15,0,-15,0,-18,18,0,0,28,-13,25,10,0,-10,-11,11,0,0,10,0,0,9,-20,9
16,Bosnia and Herzegovina,EURPOE,17.786,44.169,BIH,100,200,40,0,0,0,0,0,50,18,15,25,0,0,10,-22,0,11,0,10,0,0,18,0,28,0,0,0,6,0,5,0,0,-5,0,0,-12,-6,-24,-20,0,10,-22,0,-13,0,0,0,0,0,-15,28,-28,15,0,-15,0,0,-18,0,0,0,46,0,22,-22,11,-11,0,0,11,20,0,-9,9,0,-20,20,-20,0,0,0,0,0,0,0,10,9,8,0,-8,-20,10,0,0,9,8,8,0,0,0,7,-7,0,7,0,-7,7,0,6,6,-6,0,12,-6,0,-6,0,15
