GEOID,geoName,geoRegion,geoLON,geoLAT,ISO3,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020
164,Portugal,EURPOE,-8.467,39.603,PRT,200,92,62,43,37,23,25,22,18,14,11,14,14,11,9,6,6,2,1,2,1,0,2,1,0,-1,-3,0,-2,-2,-2,-1,-2,-4,-4,-3,-8,-6,-5,-6,-5,-6,-6,-6,-7,-7,-4,-2,-1,-1,-1,-2,-4,0,0,-2,-1,-2,-2,2,0,0,1,-1,2,1,2,-1,0,0,0,3,-1,0,0,0,0,0,-2,0,0,-1,0,0,0,-2,1,-1,-2,4,-2,0,0,-4,0,1,0,0,0,-1,0,1,3,-4,0,-1,-1,2,-1,1,0,-2,2,2,-1,-1,-2,4,480
205,United Kingdom,EURPOE,-2.9,54.16,GBR,200,110,67,53,37,28,23,22,21,17,14,12,10,10,9,8,5,3,2,2,2,1,0,1,0,0,0,0,-1,-2,-1,0,0,-1,-2,-3,-4,-5,-3,-4,-5,-5,-5,-5,-6,-7,-7,-7,-6,-5,-4,-4,-4,-4,-2,-1,-2,-2,-1,-1,-2,-1,0,-1,-2,-1,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,1,0,0,0,0,0,1,0,0,-1,0,-1,0,0,-1,-1,0,2521
39300,Providence-Warwick, RI-MA,-71.4,41.72,USA,200,96,55,35,25,20,18,14,13,13,10,9,7,8,4,3,2,1,0,1,0,1,2,1,0,1,1,1,1,-1,-3,-1,1,-2,-1,-3,-4,-5,-3,-5,-4,-5,-7,-5,-3,-5,-7,-2,-5,-4,-1,-1,-1,0,-1,-1,-2,-3,0,0,0,-1,-1,0,-3,0,-1,0,0,0,0,-1,-1,0,-2,0,0,-1,3,0,1,-3,0,2,2,1,0,1,1,0,1,0,0,2,0,2,1,-1,0,2,1,0,1,1,0,3,0,1,2,1,0,0,1,2,0,0,0,0,959
14460,Boston-Cambridge-Newton, MA-NH,-71.1,42.56,USA,200,98,51,35,31,24,20,17,14,12,12,10,10,11,8,5,3,2,1,1,0,1,1,1,1,0,0,-1,-3,-3,-2,-2,-2,-2,-2,-4,-5,-6,-6,-5,-6,-6,-6,-6,-5,-5,-6,-6,-4,-4,-3,-2,-2,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,-1,0,0,0,0,1,0,0,-1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,2,2,1,0,1,0,3,2,0,0,0,1,0,0,0,-1,2341
71,Germany,EURPOE,10.392,51.11,DEU,200,97,58,50,32,27,24,20,17,14,12,10,9,10,7,6,4,0,1,0,0,0,0,0,0,0,-1,-2,-2,-3,-2,-2,-3,-3,-4,-5,-7,-6,-8,-6,-6,-6,-7,-8,-8,-6,-4,-4,-1,-2,-3,-2,0,-1,0,0,0,0,2,0,-3,-2,0,-1,0,1,0,-1,0,-1,0,-1,-3,0,0,1,-1,1,0,-1,-1,0,1,1,1,1,0,-1,1,-1,0,0,3,2,1,1,-1,0,-1,0,1,2,2,1,0,0,0,0,-1,0,0,0,3,2,0,0,-2,1,1333
47260,Virginia Beach-Norfolk-Newport News, VA-NC,-76.45,36.84,USA,200,103,65,46,32,18,19,16,17,15,14,10,6,7,6,7,5,2,1,0,0,1,1,3,2,2,3,1,1,-1,-2,1,1,2,0,-1,-3,-5,-5,-4,-4,-3,-5,-5,-5,-6,-8,-7,-4,-5,-2,-6,-3,-4,-2,-5,-2,-1,-2,-7,0,0,-2,3,-2,2,0,-1,0,3,1,-1,0,2,1,0,-1,-2,0,3,-1,1,2,0,-1,3,6,1,0,1,2,0,7,0,2,1,-2,1,3,1,3,3,1,0,1,2,-3,1,0,4,4,0,0,3,0,0,2,1,698
19100,Dallas-Fort Worth-Arlington, TX,-97.03,32.82,USA,200,113,62,45,27,20,17,20,19,15,13,11,8,8,8,7,5,2,1,1,1,1,1,1,0,0,2,2,0,0,0,1,1,0,0,-1,-3,-3,-3,-3,-4,-6,-6,-8,-8,-10,-8,-6,-7,-6,-6,-6,-6,-3,-4,-2,-2,-2,-1,-2,-2,-2,0,-2,0,0,1,0,0,0,-1,0,0,2,0,1,0,2,2,0,1,0,1,0,2,3,3,3,3,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,2,2,3,2,1,1,0,0,0,0,0,-1,0,3165
65,France,EURPOE,2.55,46.565,FRA,200,102,61,40,33,24,22,19,20,16,12,11,11,8,8,9,4,3,1,1,0,0,-1,0,0,0,0,0,-1,-5,-2,-2,-2,-2,-3,-4,-5,-7,-7,-6,-7,-6,-7,-7,-6,-6,-7,-3,-2,-1,-2,0,-1,0,0,0,0,-3,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,-2,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,-1,0,1,0,-2,0,0,-1,-1,-1,0,0,-1,1,4,0,-2,1,1,1798
57,Austria,EURPOE,14.14,47.593,AUT,200,138,69,37,30,24,17,17,18,18,13,9,11,9,8,4,2,1,0,1,1,0,0,0,-2,0,-3,-3,-3,-5,-7,-5,-4,-7,-6,-9,-12,-14,-8,-11,-11,-12,-14,-11,-3,-5,-2,0,1,-1,-2,0,0,-2,-2,-2,3,0,1,0,3,-1,-2,4,1,2,2,2,1,3,-2,-2,-2,1,-6,-2,0,2,3,0,0,0,1,-1,-2,3,1,2,5,4,-1,-3,-2,0,-2,1,-4,0,0,0,0,0,0,-2,3,-2,2,0,0,-1,1,0,3,0,4,0,0,1,253
29200,Lafayette-West Lafayette, IN,-86.93,40.51,USA,200,85,50,33,25,28,15,16,24,17,8,10,7,13,6,1,2,4,1,0,0,1,0,-2,1,-2,-2,-5,-2,-1,-2,-4,-2,-3,1,-3,-8,0,-3,-2,0,-4,-3,-1,-4,-4,-4,-1,-5,-2,-5,-9,-3,-2,-1,0,0,-4,0,0,2,-2,-1,-5,2,0,3,2,1,-2,-3,0,0,6,-5,1,0,2,2,2,0,-4,0,-3,-1,2,0,-5,4,0,0,0,2,0,-5,3,-3,9,2,3,5,1,0,0,1,0,-3,1,3,6,4,-3,-1,0,-2,0,0,-1,165
12420,Austin-Round Rock, TX,-97.65,30.26,USA,200,123,67,46,32,22,18,17,17,15,16,11,9,7,5,6,3,3,3,1,0,1,1,1,0,1,1,2,1,0,0,-2,-3,-1,-1,-3,-4,-5,-5,-6,-5,-6,-8,-8,-7,-6,-5,-4,-5,-5,-4,-5,-5,-3,-4,-2,-1,-3,-1,-1,-1,-2,0,-1,0,0,0,0,1,0,1,2,0,1,0,1,1,0,0,0,3,1,2,0,2,0,3,4,2,3,0,2,3,3,0,2,0,0,1,2,3,1,1,0,1,1,1,2,1,0,0,0,-1,0,-2,-2,0,1,1672
41620,Salt Lake City, UT,-113.01,40.47,USA,200,84,47,36,37,22,21,17,15,13,10,13,10,10,4,3,3,3,0,1,0,0,1,0,0,0,0,0,0,0,-2,0,-1,0,-2,-2,-5,-3,-3,-4,-4,-7,-6,-5,-2,-7,-6,-9,-1,-3,-1,-1,-2,-3,-2,-2,0,0,-3,0,-1,0,0,0,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,1,2,1,0,2,0,0,1,1,0,0,2,1,0,-1,1,-1,2,-1,0,2,1,-1,0,0,1,1,0,2,0,4,0,2,2,1,0,0,0,0,-1,-1,889
21,Brazil,SOUTH AMERICA,-53.089,-10.772,BRA,200,119,67,39,32,25,20,18,16,14,11,10,9,9,6,3,2,2,0,2,1,1,0,0,2,1,0,0,1,1,0,0,1,-1,-1,-1,-1,-2,-4,-4,-3,-3,-4,-5,-3,-4,-5,-5,-2,-3,-5,-1,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,6,1,0,0,0,0,-1,0,0,0,0,0,2,0,-7,1,0,1,0,0,2,0,0,0,0,0,-1,0,0,-1,0,0,1611
151,Nigeria,AFRICA,8.105,9.594,NGA,200,160,61,34,52,29,22,12,24,19,12,13,8,8,10,5,7,5,1,3,1,1,0,0,2,0,4,1,-2,3,-3,3,-1,0,0,3,1,3,1,2,-1,0,2,-3,-1,-2,0,0,-1,-2,-5,-3,-5,-4,-5,0,-4,-1,1,0,0,-3,2,0,4,-1,2,0,0,0,0,0,-1,-2,1,0,3,2,-2,0,2,0,2,0,1,-1,3,2,-1,-1,-5,-2,0,0,0,1,2,-1,-2,0,0,0,0,0,0,2,2,2,0,1,-2,0,3,0,-3,-2,0,3,250
22060,Faribault-Northfield, MN,-93.3,44.35,USA,200,50,75,37,31,12,7,25,20,11,9,12,12,9,2,6,1,2,7,4,4,-4,2,5,-3,-1,-5,-3,5,0,1,-2,-9,-1,-2,1,-4,-6,2,-2,-4,-1,-4,-7,-10,3,-7,-3,0,1,-5,-10,2,0,8,3,-12,0,4,-8,0,-2,4,-9,-2,7,0,-7,-2,-2,5,0,-5,0,7,-7,-10,8,10,4,6,6,2,1,1,5,1,-3,1,5,1,-3,0,-3,-9,3,1,-5,-2,-4,6,1,-5,2,5,3,0,7,5,0,-3,6,6,2,-1,8,3,-2,71
88,Japan,ASIA,137.974,37.54,JPN,200,136,67,46,29,24,22,22,16,16,15,11,9,9,7,4,2,1,1,0,0,-1,0,-2,-4,-2,0,-1,-3,-3,-1,-2,-1,0,0,0,-1,0,0,-1,-3,0,0,-1,-2,-2,-2,-4,-3,-6,-3,-4,-2,-2,-3,-3,-2,-3,-2,0,-1,0,-2,0,-3,0,-3,-1,0,-1,-2,-1,-2,0,0,-1,0,-1,0,-3,2,0,-2,0,0,-1,2,0,1,0,-1,0,1,1,-2,-1,2,-2,0,1,-1,-2,0,0,0,0,0,0,0,1,-2,1,0,0,0,0,-1,0,736
41180,St. Louis, MO-IL,-90.35,38.74,USA,200,119,47,46,32,22,21,18,21,15,9,7,8,6,6,4,3,0,0,0,0,3,0,0,1,0,2,1,0,-1,0,0,0,0,-2,-4,-5,-3,-3,-2,-6,-4,-6,-6,-4,-6,-4,-5,-4,-7,-5,-5,-3,-2,-2,-1,-3,-1,-3,-3,-3,0,-2,3,0,-2,-2,-3,-1,-2,1,-2,-1,0,3,0,0,-3,2,2,2,1,1,1,0,2,3,1,1,0,2,0,-1,0,0,1,1,0,4,2,0,0,0,0,0,1,1,1,0,2,1,2,0,0,1,1,0,1,675
35620,New York-Newark-Jersey City, NY-NJ-PA,-74.09,40.92,USA,200,107,60,45,34,25,21,18,16,13,13,11,9,8,7,5,3,2,2,1,1,1,1,2,1,0,0,1,0,-2,-1,-1,-2,-2,-4,-4,-5,-6,-7,-6,-6,-7,-6,-6,-6,-7,-7,-4,-3,-4,-3,-4,-2,-1,-2,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,1,1,1,0,0,1,1,2,1,0,0,0,0,1,0,0,0,1,1,0,-1,0,1,1,0,1,1,1,1,1,3,0,0,1,1,0,0,0,1,5355
31740,Manhattan, KS,-96.51,39.34,USA,200,100,50,63,38,20,9,22,17,13,10,7,18,5,8,11,4,2,-1,-1,2,-3,2,1,-1,0,-4,3,-1,-8,-1,2,3,2,1,1,-7,-2,0,-2,-6,-5,-8,-6,-6,-14,-15,-8,-7,-9,-4,-10,-12,-5,0,-4,2,-4,4,2,3,0,-1,0,9,1,3,1,-1,-3,-3,11,1,3,3,1,0,-2,0,0,-1,4,9,7,7,1,3,-2,2,4,-1,6,2,0,1,0,-1,-3,-1,-1,4,2,-6,-1,2,0,-5,-1,-2,10,3,0,0,0,-5,-2,4,0,102
128,Belgium,EURPOE,4.664,50.643,BEL,200,106,63,45,31,22,21,18,14,10,10,9,7,8,8,4,3,3,2,3,1,1,1,2,1,0,1,0,-1,-1,-3,-3,-5,-7,-7,-7,-7,-7,-8,-8,-8,-9,-12,-9,-8,-12,-4,-3,-3,-1,-3,-3,2,-2,0,-2,1,-3,-1,0,-2,0,1,-1,0,0,0,2,16,8,-1,1,0,0,0,-1,-1,-1,0,-1,-1,-1,-17,-11,0,1,2,1,0,1,1,3,-1,0,1,0,0,2,0,2,-1,0,2,0,0,0,0,1,-1,5,1,1,3,-3,3,3,-1,2,597
33,Chile,SOUTH AMERICA,-71.38,-37.868,CHL,200,120,61,50,35,18,24,15,17,18,17,11,13,10,9,6,3,2,1,2,1,1,1,1,-1,1,-1,0,-2,0,0,0,0,-1,-1,0,-3,-5,-3,-5,-4,-5,-3,-7,-4,-6,-5,-3,-5,-5,-2,-1,-3,0,-1,0,0,-1,0,1,0,-1,1,0,0,0,0,0,1,-1,0,1,-1,0,0,0,-2,0,-1,-2,1,0,-2,1,-1,0,4,0,-2,1,1,1,0,0,0,0,1,1,0,-1,-5,0,1,0,-1,-2,0,1,0,0,0,-2,0,0,1,0,-1,0,478
85,Italy,EURPOE,12.072,42.791,ITA,200,130,65,50,30,28,21,19,18,17,13,9,7,7,5,2,1,-1,0,-2,-1,-2,-3,-4,-4,-2,-1,-1,-2,-1,-4,-3,-4,-2,-1,-2,-2,-3,-4,-2,-2,-1,-1,0,1,0,1,0,0,0,0,0,2,1,0,-1,0,0,1,0,0,0,-2,-1,0,-1,0,0,0,0,0,0,-2,0,0,0,1,2,0,0,0,-1,-1,-1,0,0,2,0,0,0,-2,-3,0,0,0,0,0,0,-2,0,-2,0,-1,0,0,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0,1222
119,Mexico,NORTH AMERICA,-102.535,23.951,MEX,200,126,65,43,30,24,20,21,19,14,13,11,9,9,8,6,4,3,2,1,2,0,1,2,1,2,1,2,1,2,0,0,0,0,-1,-1,-3,-3,-5,-5,-5,-7,-7,-10,-9,-9,-8,-7,-5,-4,-5,-5,-2,0,-1,-1,0,-1,-1,0,-1,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,1,0,0,0,-1,4,0,-1,1,1,2,0,0,0,0,0,1,-1,1,-3,-2,0,0,0,-1,-1,1,0,0,-1,0,0,0,0,0,-1,0,1,0,1,-1,0,1555
46060,Tucson, AZ,-111.79,32.1,USA,200,112,73,38,21,26,24,20,12,18,13,13,11,8,8,5,4,2,3,1,0,1,4,2,2,0,0,2,0,0,-1,0,2,0,-1,-1,-4,-5,-4,-4,-3,-6,-6,-5,-5,-5,-10,-7,-6,-6,-3,-4,-3,-7,-2,-4,1,-2,-4,1,-1,0,4,-1,-1,-3,0,7,-1,2,-1,1,-1,-6,3,0,-1,4,-3,2,1,-2,2,1,-1,2,2,0,1,1,-4,-2,3,1,1,-2,0,0,0,3,4,2,1,0,6,3,1,0,3,3,-1,0,2,-1,0,0,-3,-1,361
-9999,,,,,,200,91,47,45,31,20,20,18,13,12,12,10,11,10,7,3,2,1,1,2,0,0,2,0,1,1,0,0,-1,0,0,0,-1,-1,-2,-1,-4,-3,-6,-7,-6,-5,-7,-5,-6,-8,-7,-5,-4,-4,-4,-1,-1,0,0,0,0,-1,0,0,0,0,0,1,0,0,1,0,0,-2,1,0,0,0,1,0,0,-1,1,-1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,-1,1,0,1,-1,2,0,1,0,0,0,1,1,1,2,0,-1,0,1,0,1,0,3,-1,1118
186,Spain,EURPOE,-3.649,40.227,ESP,200,106,70,47,36,27,24,20,16,16,13,13,12,10,7,6,5,3,2,1,0,0,1,1,0,0,-1,0,0,0,-2,-3,-3,-3,-3,-4,-5,-8,-7,-7,-6,-8,-8,-10,-8,-5,-4,-1,-1,-2,-1,-1,0,0,-1,0,1,-1,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,-1,0,1,0,1,0,0,0,-1,0,0,0,0,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,1693
47900,Washington-Arlington-Alexandria, DC-VA-MD-WV,-77.47,38.83,USA,200,92,48,41,36,23,20,16,15,13,12,11,10,8,6,5,4,3,1,2,1,2,2,1,1,0,0,0,0,-2,-1,-1,-2,-3,-2,-3,-6,-6,-6,-6,-5,-6,-6,-5,-6,-6,-5,-4,-6,-5,-3,-2,-3,-3,-2,-2,-3,-2,-1,-2,-1,-1,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,1,0,0,1,1,0,1,5,2,2,1,2,1,2,4,4,3,1,2,1,2,-1,0,0,3852
12580,Baltimore-Columbia-Towson, MD,-76.58,39.34,USA,200,98,50,37,28,19,17,13,14,13,11,8,8,8,4,2,2,2,0,0,1,1,1,1,0,0,0,0,0,0,-1,-2,-1,-2,-3,-2,-4,-5,-3,-4,-4,-6,-5,-6,-5,-5,-4,-4,-3,-4,-5,-2,-4,-1,-3,-2,-2,-3,-1,-2,-1,0,0,-1,0,0,2,-1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,2,1,1,0,0,1,1,0,2,2,0,0,1,1,1,2,3,2,1,0,1,1,1,0,0,2175
34980,Nashville-Davidson--Murfreesboro--Franklin, TN,-86.72,36.09,USA,200,121,56,42,34,25,18,18,15,14,13,10,10,10,8,7,6,4,5,1,2,1,2,2,3,2,2,1,0,-1,-2,-1,-4,-3,-3,-3,-4,-5,-9,-6,-8,-9,-5,-8,-7,-7,-8,-4,-5,-7,-5,-2,-2,-3,0,-1,-3,-1,-3,-2,-1,0,0,0,-1,-1,0,-1,0,0,2,-1,0,-1,0,0,-1,3,0,1,0,2,0,2,0,2,1,3,3,1,3,0,4,2,1,1,1,0,0,1,2,1,0,2,1,1,0,1,1,2,1,0,2,1,0,0,0,0,1232
24860,Greenville-Anderson-Mauldin, SC,-82.41,34.68,USA,200,102,61,34,28,18,21,15,19,9,11,9,7,9,7,6,1,1,0,4,1,2,0,5,0,0,0,0,0,-3,-2,0,0,-4,-3,-4,-4,-9,-4,-4,-2,-7,-6,-3,-3,-4,-3,-4,-4,-4,-4,0,-3,0,-4,0,0,-4,-1,2,-7,1,-1,0,2,0,1,-2,0,0,0,1,1,-4,3,1,0,-1,0,-1,0,4,1,2,3,2,0,3,1,2,4,4,3,4,2,0,0,0,-1,1,1,1,0,-2,-1,0,0,-2,2,0,0,0,0,1,0,0,1,1,529
42140,Santa Fe, NM,-105.98,35.51,USA,200,71,41,40,28,13,16,18,15,7,10,7,8,7,2,0,0,-1,-1,5,1,-3,4,3,3,2,3,1,0,0,2,2,-2,-1,0,-1,-8,-4,-2,-7,-2,-6,-3,-3,-6,-8,0,-10,-5,-2,-1,-1,-7,5,-10,-1,-3,1,-1,-3,-3,5,-3,4,0,1,-5,0,-4,-1,-2,2,1,0,3,-3,-6,-2,-1,-5,4,1,6,2,2,-6,6,1,2,0,4,0,8,7,1,-5,1,1,-2,3,-1,4,0,6,1,0,-3,-2,3,2,4,1,7,0,-1,-4,-1,1,120
10740,Albuquerque, NM,-106.47,35.12,USA,200,115,55,34,28,26,13,21,11,14,9,11,9,11,8,3,1,4,1,0,2,-1,5,2,2,1,3,4,2,0,3,-2,0,0,0,0,-4,-4,-4,-2,-5,-12,-11,-2,-10,-3,-3,-7,-5,-6,-5,-4,0,-2,-2,2,4,-9,0,-4,-1,4,-3,2,0,-2,0,-3,-4,2,-6,1,0,4,2,-3,-1,-1,1,5,1,2,1,-1,4,6,0,-1,-2,2,4,6,0,0,0,2,3,1,0,-2,2,6,2,2,0,-2,1,2,4,1,1,-1,0,2,1,-3,-1,-2,278
12700,Barnstable Town, MA,-70.29,41.72,USA,200,105,51,37,22,25,16,17,15,13,8,7,6,8,8,2,1,1,1,0,0,0,4,5,0,3,2,0,-3,2,0,0,0,0,3,0,-6,-6,2,-5,-2,-3,-1,-2,-3,-1,-2,-3,-5,-7,-1,-6,-4,0,-1,2,-2,-4,2,-5,-1,-2,0,1,1,1,1,0,0,-1,1,0,-2,2,1,0,-3,1,5,5,-1,1,2,-1,1,0,3,0,1,0,4,3,-2,3,-1,-2,2,3,8,6,9,7,0,4,1,1,3,-1,1,4,0,1,-4,1,-4,-4,2,3,355
26420,Houston-The Woodlands-Sugar Land, TX,-95.4,29.79,USA,200,128,63,43,30,19,19,19,19,17,14,9,8,8,7,7,4,2,1,1,0,1,2,1,0,2,2,2,2,0,0,3,1,0,0,-1,-3,-4,-3,-3,-4,-5,-6,-7,-7,-12,-8,-5,-5,-5,-6,-6,-5,-4,-4,-3,-2,-2,-2,0,-1,-3,-1,-1,0,2,0,0,0,-1,0,0,0,0,0,0,0,2,0,0,1,1,2,3,2,2,5,4,1,1,2,0,1,2,1,0,0,0,1,2,0,0,3,1,1,1,3,0,1,2,1,1,0,0,0,0,0,0,2935
41700,San Antonio-New Braunfels, TX,-98.6,29.43,USA,200,116,56,47,29,23,17,15,18,17,11,9,9,9,6,4,3,2,1,1,2,2,1,1,1,1,1,2,3,1,0,1,1,0,-1,-2,-4,-4,-3,-3,-4,-7,-8,-9,-7,-12,-11,-7,-8,-7,-5,-5,-6,-4,-3,-4,-4,0,-3,0,1,0,1,0,-1,0,2,0,0,1,0,0,1,0,0,0,-1,1,2,1,0,3,1,1,2,3,3,2,3,1,4,1,2,0,4,1,1,1,0,1,3,1,2,0,0,1,0,3,-1,1,1,0,1,0,0,0,-2,0,1598
31080,Los Angeles-Long Beach-Anaheim, CA,-118.15,34.22,USA,200,101,60,41,35,25,19,18,15,13,14,10,8,8,6,4,3,3,1,0,0,0,0,0,0,0,1,0,0,-1,-1,-2,-2,-1,-2,-3,-4,-5,-6,-5,-5,-6,-6,-5,-5,-6,-3,-5,-4,-3,-2,-2,-2,-1,-1,-1,0,-1,-1,-1,-2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,2,0,0,0,1,0,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,-1,-1,7798
38060,Phoenix-Mesa-Scottsdale, AZ,-112.07,33.19,USA,200,121,63,51,31,26,20,19,19,15,11,9,8,8,6,7,3,2,1,0,2,3,1,1,2,1,1,4,2,-1,0,1,1,0,-1,-4,-4,-4,-5,-4,-4,-9,-8,-7,-7,-9,-10,-7,-8,-3,-5,-4,-4,-2,-4,-3,-2,-1,-1,-3,0,-2,0,-4,-1,0,1,-1,0,1,1,0,-1,0,0,1,0,0,2,1,1,1,1,1,1,3,3,1,2,0,2,4,1,1,1,0,1,1,0,1,4,3,3,4,0,1,3,2,0,1,0,-1,0,-1,-3,-1,-2,0,1539
40140,Riverside-San Bernardino-Ontario, CA,-116.13,34.55,USA,200,104,56,39,27,22,17,16,15,14,10,9,7,6,5,4,3,1,0,0,0,0,0,0,0,0,0,2,0,0,-1,-1,0,0,-1,-1,-2,-4,-3,-3,-3,-5,-5,-6,-4,-4,-4,-4,-2,-3,-3,-2,-1,-2,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,1,0,1,2,3,1,1,0,0,1,0,1,1,2,0,1,0,0,1,1,1,2,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,3822
34900,Napa, CA,-122.33,38.51,USA,200,114,60,38,27,17,20,16,15,12,6,9,6,7,6,1,1,0,-2,-1,-2,-1,0,-1,2,0,0,2,-1,0,-2,-1,0,-1,-1,-3,-6,-4,-5,-4,-2,-8,-5,-5,-8,-3,-4,0,-3,-2,-1,-2,1,2,-2,-1,-2,0,0,-2,2,-1,1,1,0,1,0,-1,-1,0,-2,-5,0,1,4,-2,1,0,2,0,-4,1,0,1,3,4,2,4,-1,3,-3,2,-1,2,4,-4,4,1,0,3,2,0,0,4,3,0,3,-1,0,4,-1,-1,-1,0,0,-1,1,-3,246
29540,Lancaster, PA,-76.25,40.04,USA,200,138,53,73,23,25,20,14,23,18,12,10,10,10,11,5,2,1,1,1,0,3,1,0,0,0,1,-2,-5,-4,0,-1,-3,-3,-4,-3,-10,-8,-2,-5,-12,-4,0,-2,-5,-8,0,0,2,-5,0,-2,-2,-2,4,-3,-1,-4,-2,-4,-7,-4,-2,3,8,6,-7,4,-8,3,1,4,2,1,2,0,0,0,-6,-2,2,-4,4,-1,-4,2,3,2,-1,-5,5,-2,2,1,-2,3,3,5,0,1,6,0,6,5,-3,0,0,1,2,1,-2,-3,3,2,-6,2,-3,0,128
235,Serbia,EURPOE,20.806,44.032,SRB,200,100,66,45,51,24,27,16,14,16,17,13,8,8,5,5,2,4,-1,2,0,2,3,0,0,1,0,2,0,0,1,-2,-2,-2,-2,-7,-5,-5,-11,-10,-6,-13,-5,-8,-12,-10,-6,-6,-1,1,8,0,4,3,5,4,0,1,0,7,1,-6,-3,1,-9,2,-4,-7,-4,-3,-3,-1,8,-8,0,10,4,-1,3,0,10,2,0,2,2,-2,-1,0,-4,-5,-1,0,-6,-1,-1,-3,1,0,6,10,-2,-7,7,9,-1,-2,5,0,-6,9,1,2,3,2,1,5,1,-1,89
29820,Las Vegas-Henderson-Paradise, NV,-115.01,36.22,USA,200,132,65,50,29,27,25,23,22,18,10,8,7,7,6,5,3,1,0,1,0,1,0,-1,0,0,1,1,0,-1,-1,-1,-1,-3,-5,-7,-9,-9,-7,-8,-9,-11,-10,-13,-11,-9,-8,-5,-3,-3,-2,-2,-2,0,0,-1,-1,-1,-1,-3,0,-1,0,-1,0,0,1,0,-3,0,-2,0,0,1,-1,0,0,0,2,0,0,1,2,0,3,3,4,2,2,1,0,2,2,1,3,0,1,1,2,1,0,1,2,2,0,1,-1,1,0,1,1,1,0,1,2,2,0,0,1421
82,India,ASIA,79.619,22.881,IND,200,155,93,47,38,37,25,27,23,16,16,14,12,8,8,8,5,4,3,1,2,1,0,2,0,1,-1,0,1,-2,-2,0,0,0,-1,-1,-2,0,-2,-5,0,-1,-2,-1,0,-2,-2,0,1,0,0,0,-1,1,0,0,0,1,1,1,3,0,1,0,1,-2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,-1,2,0,0,0,2,0,0,2,-1,2,-1,2,0,1,0,2,0,0,0,0,0,-1,1,0,858
