,Unnamed: 0,GEOID,geoName,geoRegion,geoLON,geoLAT,ISO3,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020
266,266,46980,Vicksburg, MS,-90.88,32.19,USA,1,50,0,33,-15,-142,133,-22,0,22,18,-40,40,0,-18,-22,76,-127,111,-15,0,28,31,-93,54,-33,-22,40,15,-33,18,-40,22,-22,-28,28,54,-111,40,66,-66,50,-50,-40,66,-120,66,40,66,-100,40,-40,-200,200,-40,-66,100,-40,-66,142,-40,0,0,-28,0,-40,0,40,-100,100,-40,40,-40,0,0,0,100,-142,66,-66,66,40,-100,120,22,-133,120,40,-100,0,-200,200,-66,-66,0,120,-66,100,-66,-100,133,-85,40,-100,66,0,0,100,-100,100,-66,-40,0,100,-18,-22,0,0,-200
267,267,25860,Hickory-Lenoir-Morganton, NC,-81.45,35.81,USA,1,30,-22,-8,0,8,45,-23,28,-28,12,-6,22,-22,-13,30,-5,15,-47,14,-30,37,79,-11,-75,12,25,-37,33,-40,48,-62,34,-6,-46,40,6,-28,-18,-10,-11,47,-26,26,-8,-18,26,-36,-11,22,-22,0,-28,73,-36,0,20,0,-44,60,7,-129,114,-44,60,-60,13,22,0,-10,20,-138,138,-31,66,-46,-66,18,95,-51,-22,11,-25,13,0,22,78,-70,-31,0,11,56,-20,47,-100,66,19,-61,50,33,-40,25,-25,44,-58,28,0,-6,0,-6,13,-56,-40,107,-42,26,16,-75,-127
268,268,36660,Opelousas, LA,-92.01,30.6,USA,1,0,105,-47,47,-47,-28,28,11,-11,-46,0,57,-25,-15,50,0,-35,0,60,-60,13,22,-22,22,-22,-66,93,-20,-76,54,52,-18,-107,0,107,-85,40,40,-100,-40,100,28,-46,-133,142,-18,-22,0,100,-100,54,-80,0,28,0,22,-22,22,-133,133,0,18,-40,-66,66,40,-40,-66,-66,120,-66,66,0,40,-200,200,-40,-66,0,111,-80,50,0,-85,85,18,0,0,-40,-28,28,0,0,-66,85,46,-13,-80,66,-142,133,0,-50,66,15,44,-114,100,20,-114,28,22,46,-28,0,28,-13,-80
269,269,30020,Lawton, OK,-98.43,34.52,USA,1,28,-200,200,0,40,-127,111,0,-33,100,-85,-40,54,-54,66,60,-72,-33,-22,40,-66,66,0,28,-13,0,-80,50,-50,140,-123,85,-22,-46,18,-18,33,-80,90,-28,-66,0,50,-22,40,-18,-22,-120,100,28,22,-85,100,-200,200,80,-80,50,33,-150,150,-200,200,-66,120,0,0,-200,200,-28,28,-120,0,66,66,54,-54,0,-66,100,-142,120,-28,28,-28,0,80,-111,-66,120,-28,-100,142,15,-111,-200,200,66,-66,-28,90,-90,0,28,22,18,28,-90,28,-120,100,80,-111,100,-142,120,54,-111
270,270,34420,Mount Pleasant, TX,-94.97,33.22,USA,1,-200,200,0,100,-200,200,0,66,-66,66,0,0,-66,100,0,-40,66,-66,-66,66,-200,200,-100,66,54,-150,100,-40,-66,66,40,28,-28,-200,200,0,-200,200,120,0,0,-120,-200,200,-66,0,0,0,-66,-200,200,0,100,-100,0,-200,200,40,-200,0,200,66,-66,-200,200,-200,200,111,-200,200,-40,0,-66,-200,0,200,-100,0,66,-200,200,-200,0,200,133,33,-80,50,0,-200,200,120,-120,66,-200,200,-200,200,100,-200,200,28,-120,0,66,100,-142,0,-200,200,66,-120,100,0,-40,0,40,-200
271,271,19140,Dalton, GA,-84.85,34.8,USA,1,-15,40,28,-52,66,-15,-100,66,60,6,-78,-33,75,0,-31,47,-60,-33,33,0,0,-15,66,8,-47,22,-35,60,-60,-15,0,80,-33,-22,-46,46,11,10,18,0,-28,36,-60,35,0,-10,-11,-66,66,-28,-40,0,-66,100,-66,28,0,22,-22,40,0,28,-46,46,-46,-85,100,-100,66,66,-13,13,-120,0,66,22,-22,40,-18,18,0,-40,40,-40,54,-33,18,28,-90,90,-13,-15,15,-111,111,-15,50,-50,-66,28,0,22,-22,-28,-40,120,-46,66,-85,54,13,22,-50,15,-80,66,0,-40
272,272,18260,Cookeville, TN,-85.47,36.28,USA,1,28,22,0,18,-66,100,-40,28,-66,54,13,0,-28,-40,93,-20,-25,78,11,-25,19,-34,-18,-22,11,-25,66,-80,50,-107,28,-120,150,-80,100,-25,-54,-120,100,28,0,-66,111,-15,-18,0,-85,85,-85,85,-85,66,-66,40,-200,200,-120,133,-85,66,22,46,-66,0,-66,40,0,80,-200,200,100,50,-133,66,40,80,0,-54,40,-40,-28,-40,-200,200,28,-66,0,-120,120,0,40,15,-33,18,0,15,-111,100,28,-66,22,18,-100,100,-40,66,-46,33,-80,66,-18,57,-127,100,-40,0,40,-66
273,273,41220,St. Marys, GA,-81.67,30.93,USA,1,100,-200,200,50,-50,-40,0,66,-28,-40,40,-40,40,-100,133,-22,0,-66,0,-66,100,0,-40,40,-40,0,40,28,22,-133,120,-120,0,0,0,133,-133,-200,200,-66,100,-100,0,142,-200,200,66,-66,0,0,100,-100,-200,200,0,0,66,-66,100,-40,-200,0,200,-200,200,0,66,-200,200,0,-66,100,-100,120,-200,200,0,-66,66,40,0,-200,200,-66,0,40,-40,-66,-200,200,-120,0,100,28,-200,200,-120,120,-28,-40,66,-200,200,80,-150,133,-133,100,-100,-200,200,0,-66,-66,100,0,28,-120
274,274,46100,Tullahoma-Manchester, TN,-86.12,35.3,USA,1,0,54,13,-13,13,-13,-80,66,0,15,-33,0,46,-66,100,8,-47,-66,54,-15,80,13,-46,-85,40,-100,120,31,-58,15,-54,54,25,-76,66,-66,66,-46,-22,40,-18,33,-80,66,-40,54,-54,54,-54,54,0,-111,40,28,-28,50,-22,0,66,-46,-22,0,-66,85,0,75,-93,-66,85,-50,28,0,0,54,-111,100,-66,50,-50,66,15,-15,0,-66,0,80,-15,-18,18,-18,46,-90,0,28,22,0,46,-90,66,-18,-85,100,0,0,0,0,28,-46,-22,22,0,-22,54,-80,28,40,0,-66
275,275,17140,Cincinnati, OH-KY-IN,-84.43,39.07,USA,1,70,-4,16,5,0,-5,26,14,-13,-30,11,-1,-5,24,24,0,-30,-14,9,5,5,38,0,-22,-2,-5,0,9,11,-26,-9,2,-15,-6,-1,3,-23,1,-15,0,10,-9,-5,-7,1,-17,10,-10,10,5,-9,14,-25,0,-11,9,18,-18,16,-8,-6,-9,11,-27,5,31,-14,0,-2,0,8,-26,46,-9,-12,17,-7,23,-16,5,-16,-41,35,15,7,12,-4,-32,8,5,15,-8,8,-8,-1,11,-8,14,-25,34,-9,-17,22,-10,-11,41,-9,2,-28,17,-27,36,-20,41,-41,-6,22,-111
